Order_ID,Product,Category,Quantity,Price,Sales,City,Payment_Method,Order_Status,Customer_Name
O00001,Tablet,Electronics,2,26375,52750,Chennai,Cash,Completed,Customer_138
O00002,Mobile,Electronics,3,38693,116079,Mumbai,Card,Completed,Customer_23
O00003,Smart Watch,Wearables,4,5078,20312,Pune,Cash,Cancelled,Customer_109
O00004,Laptop,Electronics,5,8613,43065,Pune,Cash,Cancelled,Customer_150
O00005,Smart Watch,Wearables,1,14988,14988,Mumbai,Card,Pending,Customer_108
O00006,Headphones,Accessories,5,8219,41095,Hyderabad,UPI,Cancelled,Customer_175
O00007,Headphones,Accessories,1,38615,38615,Hyderabad,Card,Pending,Customer_25
O00008,Mobile,Electronics,5,4406,22030,Hyderabad,Card,Pending,Customer_175
O00009,Smart Watch,Wearables,3,31013,93039,Hyderabad,Net Banking,Pending,Customer_77
O00010,Keyboard,Accessories,2,46309,92618,Kolkata,Card,Completed,Customer_148
O00011,Mouse,Accessories,5,32947,164735,Delhi,Net Banking,Pending,Customer_156
O00012,Mobile,Electronics,1,34050,34050,Bangalore,Card,Pending,Customer_39
O00013,Camera,Electronics,4,3069,12276,Chennai,Cash,Cancelled,Customer_147
O00014,Tablet,Electronics,3,46066,138198,Delhi,Net Banking,Cancelled,Customer_117
O00015,Mobile,Electronics,1,18190,18190,Bangalore,Cash,Completed,Customer_188
O00016,Mouse,Accessories,5,45145,225725,Kolkata,Net Banking,Pending,Customer_184
O00017,Smart Watch,Wearables,3,1978,5934,Bangalore,UPI,Completed,Customer_157
O00018,Mobile,Electronics,4,4363,17452,Pune,UPI,Completed,Customer_190
O00019,Keyboard,Accessories,4,26121,104484,Kolkata,Net Banking,Completed,Customer_43
O00020,Camera,Electronics,4,36508,146032,Delhi,Card,Pending,Customer_141
O00021,Mouse,Accessories,4,24012,96048,Chennai,Net Banking,Completed,Customer_39
O00022,Mobile,Electronics,2,10415,20830,Pune,Card,Completed,Customer_125
O00023,Headphones,Accessories,3,18976,56928,Mumbai,Card,Pending,Customer_137
O00024,Tablet,Electronics,5,37615,188075,Delhi,Card,Cancelled,Customer_132
